Month,Product_Group,MARKET_SEGMENT,CUSTOMER_SEGMENT,PRIORITY,Total_Orders,Total_Met_Orders,Fill_Rate
01-07-2024,CRCA,MS_DOMESTIC,STP,4.0,5965.0,946.0,15.859178541492035
01-07-2024,CRCA,MS_DOMESTIC,STR,-1.0,40.0,0.0,0.0
01-07-2024,CRCA,MS_DOMESTIC,STR,4.0,3633.0,298.0,8.202587393338838
01-07-2024,CRCA,OE_DOMESTIC,EMG,4.0,773.0,30.0,3.8809831824062093
01-07-2024,CRCA,OE_DOMESTIC,FOC,4.0,310.0,290.0,93.54838709677419
01-07-2024,CRCA,OE_DOMESTIC,PRY,4.0,547.0,0.0,0.0
01-07-2024,CRCA,OE_DOMESTIC,STP,4.0,22553.0,4365.0,19.35440961291181
01-07-2024,CRCA,OE_DOMESTIC,STR,-1.0,125.0,0.0,0.0
01-07-2024,CRCA,OE_DOMESTIC,STR,4.0,9422.0,3512.0,37.27446402037784
01-07-2024,CRCA,OE_EXPORTS,EMG,1.0,759.0,726.0,95.65217391304348
01-07-2024,CRCA,OE_EXPORTS,PRY,1.0,1300.0,713.0,54.84615384615385
01-07-2024,CRCA,OE_EXPORTS,STP,-1.0,65.0,0.0,0.0
01-07-2024,CRCA,OE_EXPORTS,STP,1.0,33511.0,17370.0,51.83372623914535
01-07-2024,CRCA,RE_DOMESTIC,EMG,-1.0,906.0,0.0,0.0
01-07-2024,CRCA,RE_DOMESTIC,EMG,4.0,5400.0,2668.0,49.407407407407405
01-07-2024,CRCA,RE_DOMESTIC,EMG,16.0,13.0,1.0,7.6923076923076925
01-07-2024,CRCA,RE_DOMESTIC,FOC,-1.0,60.0,0.0,0.0
01-07-2024,CRCA,RE_DOMESTIC,FOC,4.0,1801.0,120.0,6.662965019433647
01-07-2024,CRCA,RE_DOMESTIC,FOC,16.0,1327.0,161.0,12.132629992464206
01-07-2024,CRCA,RE_DOMESTIC,PRY,-1.0,230.0,0.0,0.0
01-07-2024,CRCA,RE_DOMESTIC,PRY,4.0,7520.0,4530.0,60.23936170212766
01-07-2024,CRCA,RE_DOMESTIC,PRY,16.0,3201.0,597.0,18.650421743205246
01-07-2024,CRCA,RE_DOMESTIC,STP,-1.0,72.0,0.0,0.0
01-07-2024,CRCA,RE_DOMESTIC,STP,4.0,6393.0,590.0,9.228844048177693
01-07-2024,CRCA,RE_DOMESTIC,STP,16.0,740.0,63.0,8.513513513513514
01-07-2024,CRCA,RE_DOMESTIC,STR,-1.0,1490.0,0.0,0.0
01-07-2024,CRCA,RE_DOMESTIC,STR,4.0,12373.0,494.0,3.9925644548613914
01-07-2024,CRCA,RE_DOMESTIC,STR,16.0,4276.0,627.0,14.663236669784846
01-07-2024,CRCA,RE_EXPORTS,PRY,1.0,7486.0,5724.0,76.46273043013625
01-07-2024,CRCA,SA_DOMESTIC,EMG,4.0,1810.0,951.0,52.5414364640884
01-07-2024,CRCA,SA_DOMESTIC,PRY,4.0,6245.0,2548.0,40.80064051240993
01-07-2024,CRCA,SA_DOMESTIC,STP,4.0,37900.0,12102.0,31.93139841688654
01-07-2024,CRCA,SA_DOMESTIC,STR,4.0,13299.0,3355.0,25.227460711331677
01-07-2024,CRFH,MS_DOMESTIC,STR,4.0,636.0,476.0,74.84276729559748
01-07-2024,CRFH,OE_DOMESTIC,STP,-1.0,1603.0,0.0,0.0
01-07-2024,CRFH,OE_DOMESTIC,STP,4.0,2362.0,1542.0,65.28365791701948
01-07-2024,CRFH,OE_DOMESTIC,STR,4.0,57.0,57.0,100.0
01-07-2024,CRFH,RE_EXPORTS,PRY,1.0,10.0,0.0,0.0
01-07-2024,GA,OE_DOMESTIC,STR,2.0,777.0,371.0,47.74774774774775
01-07-2024,GA,SA_DOMESTIC,PRY,2.0,966.0,270.0,27.95031055900621
01-07-2024,GA,SA_DOMESTIC,STP,2.0,21538.0,8719.0,40.481938898690686
01-07-2024,GA,SA_DOMESTIC,STR,2.0,4206.0,2094.0,49.78601997146933
01-07-2024,GBAL,OE_DOMESTIC,STR,2.0,116.0,116.0,100.0
01-07-2024,GBAL,RE_EXPORTS,PRY,1.0,24.0,24.0,100.0
01-07-2024,GI,MS_DOMESTIC,EMG,-1.0,80.0,0.0,0.0
01-07-2024,GI,MS_DOMESTIC,EMG,3.0,425.0,116.0,27.294117647058826
01-07-2024,GI,MS_DOMESTIC,FOC,3.0,35.0,0.0,0.0
01-07-2024,GI,MS_DOMESTIC,PRY,3.0,832.0,0.0,0.0
01-07-2024,GI,MS_DOMESTIC,STP,3.0,2248.0,50.0,2.224199288256228
01-07-2024,GI,MS_DOMESTIC,STR,-1.0,110.0,0.0,0.0
01-07-2024,GI,MS_DOMESTIC,STR,3.0,2813.0,662.0,23.533594027728405
01-07-2024,GI,OE_DOMESTIC,EMG,3.0,2802.0,518.0,18.486795146324052
01-07-2024,GI,OE_DOMESTIC,FOC,3.0,1176.0,42.0,3.571428571428571
01-07-2024,GI,OE_DOMESTIC,PRY,-1.0,46.0,0.0,0.0
01-07-2024,GI,OE_DOMESTIC,PRY,3.0,1892.0,466.0,24.63002114164905
01-07-2024,GI,OE_DOMESTIC,STP,3.0,22133.0,4457.0,20.13735146613654
01-07-2024,GI,OE_DOMESTIC,STR,-1.0,762.0,0.0,0.0
01-07-2024,GI,OE_DOMESTIC,STR,3.0,21257.0,3368.0,15.84419250129369
01-07-2024,GI,OE_EXPORTS,EMG,1.0,268.0,99.0,36.940298507462686
01-07-2024,GI,OE_EXPORTS,PRY,1.0,250.0,0.0,0.0
01-07-2024,GI,OE_EXPORTS,STP,1.0,8370.0,713.0,8.518518518518519
01-07-2024,GI,RE_DOMESTIC,EMG,-1.0,290.0,0.0,0.0
01-07-2024,GI,RE_DOMESTIC,EMG,3.0,4138.0,50.0,1.208313194780087
01-07-2024,GI,RE_DOMESTIC,EMG,15.0,604.0,17.0,2.814569536423841
01-07-2024,GI,RE_DOMESTIC,FOC,-1.0,220.0,0.0,0.0
01-07-2024,GI,RE_DOMESTIC,FOC,3.0,1965.0,1040.0,52.926208651399484
01-07-2024,GI,RE_DOMESTIC,FOC,15.0,1007.0,96.0,9.533267130089374
01-07-2024,GI,RE_DOMESTIC,PRY,-1.0,613.0,0.0,0.0
01-07-2024,GI,RE_DOMESTIC,PRY,3.0,4645.0,1171.0,25.209903121636167
01-07-2024,GI,RE_DOMESTIC,PRY,15.0,6723.0,206.0,3.064108284991819
01-07-2024,GI,RE_DOMESTIC,STP,-1.0,590.0,0.0,0.0
01-07-2024,GI,RE_DOMESTIC,STP,3.0,116.0,0.0,0.0
01-07-2024,GI,RE_DOMESTIC,STP,15.0,533.0,22.0,4.127579737335835
01-07-2024,GI,RE_DOMESTIC,STR,-1.0,9819.0,0.0,0.0
01-07-2024,GI,RE_DOMESTIC,STR,3.0,7825.0,2990.0,38.2108626198083
01-07-2024,GI,RE_DOMESTIC,STR,15.0,9861.0,903.0,9.15728627928202
01-07-2024,GI,RE_EXPORTS,EMG,1.0,100.0,0.0,0.0
01-07-2024,GI,RE_EXPORTS,PRY,1.0,2510.0,42.0,1.6733067729083666
01-07-2024,GI,RE_EXPORTS,STP,1.0,2976.0,775.0,26.041666666666668
01-07-2024,GI,SA_DOMESTIC,STP,-1.0,133.0,0.0,0.0
01-07-2024,GI,SA_DOMESTIC,STP,3.0,642.0,367.0,57.165109034267914
01-07-2024,GI,SA_DOMESTIC,STR,3.0,1266.0,435.0,34.360189573459714
01-07-2024,GL,MS_DOMESTIC,EMG,3.0,40.0,0.0,0.0
01-07-2024,GL,MS_DOMESTIC,FOC,3.0,490.0,0.0,0.0
01-07-2024,GL,MS_DOMESTIC,PRY,3.0,227.0,0.0,0.0
01-07-2024,GL,MS_DOMESTIC,STP,3.0,413.0,0.0,0.0
01-07-2024,GL,MS_DOMESTIC,STR,3.0,1578.0,0.0,0.0
01-07-2024,GL,OE_DOMESTIC,EMG,3.0,1086.0,9.0,0.8287292817679558
01-07-2024,GL,OE_DOMESTIC,FOC,3.0,633.0,0.0,0.0
01-07-2024,GL,OE_DOMESTIC,PRY,3.0,603.0,0.0,0.0
01-07-2024,GL,OE_DOMESTIC,STP,3.0,8565.0,0.0,0.0
01-07-2024,GL,OE_DOMESTIC,STR,3.0,4907.0,58.0,1.1819849195027512
01-07-2024,GL,OE_EXPORTS,EMG,1.0,550.0,0.0,0.0
01-07-2024,GL,OE_EXPORTS,STP,1.0,1591.0,0.0,0.0
01-07-2024,GL,RE_DOMESTIC,EMG,3.0,369.0,0.0,0.0
01-07-2024,GL,RE_DOMESTIC,EMG,15.0,157.0,15.0,9.554140127388536
01-07-2024,GL,RE_DOMESTIC,FOC,3.0,193.0,0.0,0.0
01-07-2024,GL,RE_DOMESTIC,FOC,15.0,494.0,53.0,10.728744939271255
01-07-2024,GL,RE_DOMESTIC,PRY,3.0,404.0,155.0,38.366336633663366
01-07-2024,GL,RE_DOMESTIC,PRY,15.0,517.0,86.0,16.634429400386846
01-07-2024,GL,RE_DOMESTIC,STP,3.0,637.0,0.0,0.0
01-07-2024,GL,RE_DOMESTIC,STP,15.0,196.0,69.0,35.204081632653065
01-07-2024,GL,RE_DOMESTIC,STR,3.0,1015.0,15.0,1.477832512315271
01-07-2024,GL,RE_DOMESTIC,STR,15.0,1151.0,269.0,23.370981754995658
01-07-2024,GL,RE_EXPORTS,PRY,1.0,1424.0,0.0,0.0
01-07-2024,GL,RE_EXPORTS,STP,1.0,1525.0,0.0,0.0
01-07-2024,HR,DE_DOMESTIC,EMG,17.0,6.0,6.0,100.0
01-07-2024,HR,MS_DOMESTIC,EMG,5.0,3539.0,1245.0,35.17942921729302
01-07-2024,HR,MS_DOMESTIC,EMG,17.0,367.0,360.0,98.09264305177112
01-07-2024,HR,MS_DOMESTIC,FOC,17.0,400.0,280.0,70.0
01-07-2024,HR,MS_DOMESTIC,PRY,5.0,1916.0,1794.0,93.63256784968684
01-07-2024,HR,MS_DOMESTIC,PRY,17.0,877.0,547.0,62.37172177879133
01-07-2024,HR,MS_DOMESTIC,STP,-1.0,125.0,0.0,0.0
01-07-2024,HR,MS_DOMESTIC,STP,5.0,844.0,673.0,79.739336492891
01-07-2024,HR,MS_DOMESTIC,STP,17.0,274.0,243.0,88.6861313868613
01-07-2024,HR,MS_DOMESTIC,STR,-1.0,126.0,0.0,0.0
01-07-2024,HR,MS_DOMESTIC,STR,5.0,4884.0,4695.0,96.13022113022113
01-07-2024,HR,MS_DOMESTIC,STR,17.0,943.0,830.0,88.01696712619301
01-07-2024,HR,OE_DOMESTIC,EMG,5.0,8324.0,3747.0,45.01441614608361
01-07-2024,HR,OE_DOMESTIC,EMG,17.0,7787.0,1859.0,23.87312186978297
01-07-2024,HR,OE_DOMESTIC,FOC,-1.0,301.0,0.0,0.0
01-07-2024,HR,OE_DOMESTIC,FOC,5.0,1000.0,740.0,74.0
01-07-2024,HR,OE_DOMESTIC,FOC,17.0,1658.0,1530.0,92.2798552472859
01-07-2024,HR,OE_DOMESTIC,PRY,5.0,6907.0,6429.0,93.07948458086
01-07-2024,HR,OE_DOMESTIC,PRY,17.0,9851.0,7327.0,74.37823571211044
01-07-2024,HR,OE_DOMESTIC,STP,-1.0,194.0,0.0,0.0
01-07-2024,HR,OE_DOMESTIC,STP,5.0,145176.0,119181.0,82.09414779302364
01-07-2024,HR,OE_DOMESTIC,STP,17.0,62669.0,50806.0,81.07038567712904
01-07-2024,HR,OE_DOMESTIC,STR,-1.0,293.0,0.0,0.0
01-07-2024,HR,OE_DOMESTIC,STR,5.0,34045.0,31061.0,91.23512997503305
01-07-2024,HR,OE_DOMESTIC,STR,17.0,7646.0,6372.0,83.33769291132619
01-07-2024,HR,OE_EXPORTS,EMG,11.0,1186.0,976.0,82.29342327150084
01-07-2024,HR,OE_EXPORTS,FOC,11.0,35.0,35.0,100.0
01-07-2024,HR,OE_EXPORTS,STP,1.0,492.0,492.0,100.0
01-07-2024,HR,OE_EXPORTS,STP,11.0,560.0,490.0,87.5
01-07-2024,HR,OE_EXPORTS,STR,11.0,245.0,175.0,71.42857142857143
01-07-2024,HR,RE_DOMESTIC,EMG,-1.0,53.0,0.0,0.0
01-07-2024,HR,RE_DOMESTIC,EMG,5.0,6742.0,4237.0,62.84485315929991
01-07-2024,HR,RE_DOMESTIC,EMG,17.0,977.0,843.0,86.28454452405322
01-07-2024,HR,RE_DOMESTIC,FOC,5.0,4011.0,3652.0,91.04961356270258
01-07-2024,HR,RE_DOMESTIC,FOC,17.0,2765.0,2648.0,95.76853526220614
01-07-2024,HR,RE_DOMESTIC,PRY,-1.0,394.0,0.0,0.0
01-07-2024,HR,RE_DOMESTIC,PRY,5.0,8499.0,6726.0,79.13872220261207
01-07-2024,HR,RE_DOMESTIC,PRY,17.0,5195.0,4761.0,91.64581328200192
01-07-2024,HR,RE_DOMESTIC,STP,-1.0,178.0,0.0,0.0
01-07-2024,HR,RE_DOMESTIC,STP,5.0,6708.0,6148.0,91.65175909361956
01-07-2024,HR,RE_DOMESTIC,STP,17.0,2183.0,1856.0,85.02061383417315
01-07-2024,HR,RE_DOMESTIC,STR,-1.0,357.0,0.0,0.0
01-07-2024,HR,RE_DOMESTIC,STR,5.0,8282.0,6242.0,75.3682685341705
01-07-2024,HR,RE_DOMESTIC,STR,17.0,2775.0,2347.0,84.57657657657658
01-07-2024,HR,RE_EXPORTS,EMG,11.0,490.0,490.0,100.0
01-07-2024,HR,RE_EXPORTS,FOC,11.0,245.0,245.0,100.0
01-07-2024,HR,RE_EXPORTS,PRY,11.0,280.0,280.0,100.0
01-07-2024,HR,RE_EXPORTS,STP,11.0,280.0,280.0,100.0
01-07-2024,HR,SA_DOMESTIC,EMG,5.0,894.0,894.0,100.0
01-07-2024,HR,SA_DOMESTIC,EMG,17.0,10.0,10.0,100.0
01-07-2024,HR,SA_DOMESTIC,FOC,5.0,110.0,110.0,100.0
01-07-2024,HR,SA_DOMESTIC,FOC,17.0,162.0,162.0,100.0
01-07-2024,HR,SA_DOMESTIC,PRY,17.0,4.0,4.0,100.0
01-07-2024,HR,SA_DOMESTIC,STP,5.0,4447.0,4126.0,92.78165055093322
01-07-2024,HR,SA_DOMESTIC,STP,17.0,1571.0,1276.0,81.2221514958625
01-07-2024,HR,SA_DOMESTIC,STR,5.0,1387.0,1287.0,92.79019466474405
01-07-2024,HR,SA_DOMESTIC,STR,17.0,861.0,648.0,75.26132404181185
01-07-2024,HRCTL,MS_DOMESTIC,EMG,5.0,1217.0,767.0,63.023829087921115
01-07-2024,HRCTL,MS_DOMESTIC,FOC,5.0,705.0,273.0,38.72340425531915
01-07-2024,HRCTL,MS_DOMESTIC,PRY,5.0,730.0,342.0,46.849315068493155
01-07-2024,HRCTL,MS_DOMESTIC,STP,5.0,2180.0,2003.0,91.88073394495413
01-07-2024,HRCTL,MS_DOMESTIC,STR,-1.0,145.0,0.0,0.0
01-07-2024,HRCTL,MS_DOMESTIC,STR,5.0,81.0,81.0,100.0
01-07-2024,HRCTL,OE_DOMESTIC,EMG,5.0,3715.0,3024.0,81.39973082099597
01-07-2024,HRCTL,OE_DOMESTIC,FOC,-1.0,20.0,0.0,0.0
01-07-2024,HRCTL,OE_DOMESTIC,FOC,5.0,1055.0,1030.0,97.6303317535545
01-07-2024,HRCTL,OE_DOMESTIC,PRY,5.0,8222.0,4083.0,49.65945025541231
01-07-2024,HRCTL,OE_DOMESTIC,STP,-1.0,30.0,0.0,0.0
01-07-2024,HRCTL,OE_DOMESTIC,STP,5.0,23845.0,12525.0,52.526735164604744
01-07-2024,HRCTL,OE_DOMESTIC,STR,-1.0,176.0,0.0,0.0
01-07-2024,HRCTL,OE_DOMESTIC,STR,5.0,10647.0,4577.0,42.9886352963276
01-07-2024,HRCTL,OE_EXPORTS,STP,1.0,100.0,100.0,100.0
01-07-2024,HRCTL,RE_DOMESTIC,EMG,-1.0,135.0,0.0,0.0
01-07-2024,HRCTL,RE_DOMESTIC,EMG,5.0,867.0,717.0,82.69896193771626
01-07-2024,HRCTL,RE_DOMESTIC,EMG,17.0,10.0,8.0,80.0
01-07-2024,HRCTL,RE_DOMESTIC,FOC,-1.0,1082.0,0.0,0.0
01-07-2024,HRCTL,RE_DOMESTIC,FOC,5.0,2475.0,2223.0,89.81818181818181
01-07-2024,HRCTL,RE_DOMESTIC,FOC,17.0,557.0,293.0,52.6032315978456
01-07-2024,HRCTL,RE_DOMESTIC,PRY,-1.0,450.0,0.0,0.0
01-07-2024,HRCTL,RE_DOMESTIC,PRY,5.0,2085.0,2085.0,100.0
01-07-2024,HRCTL,RE_DOMESTIC,PRY,17.0,942.0,488.0,51.80467091295117
01-07-2024,HRCTL,RE_DOMESTIC,STP,-1.0,420.0,0.0,0.0
01-07-2024,HRCTL,RE_DOMESTIC,STP,5.0,1701.0,1401.0,82.36331569664902
01-07-2024,HRCTL,RE_DOMESTIC,STP,17.0,842.0,500.0,59.38242280285036
01-07-2024,HRCTL,RE_DOMESTIC,STR,-1.0,292.0,0.0,0.0
01-07-2024,HRCTL,RE_DOMESTIC,STR,5.0,3810.0,3302.0,86.66666666666667
01-07-2024,HRCTL,RE_DOMESTIC,STR,17.0,480.0,181.0,37.708333333333336
01-07-2024,HRCTL,RE_EXPORTS,PRY,1.0,140.0,140.0,100.0
01-07-2024,HRCTL,SA_DOMESTIC,FOC,5.0,183.0,0.0,0.0
01-07-2024,HRCTL,SA_DOMESTIC,STP,5.0,1697.0,457.0,26.929876252209784
01-07-2024,HRCTL,SA_DOMESTIC,STR,5.0,377.0,250.0,66.3129973474801
01-07-2024,HRGI,MS_DOMESTIC,EMG,3.0,72.0,0.0,0.0
01-07-2024,HRGI,OE_DOMESTIC,EMG,3.0,112.0,0.0,0.0
01-07-2024,HRGI,OE_DOMESTIC,FOC,3.0,40.0,0.0,0.0
01-07-2024,HRGI,OE_DOMESTIC,PRY,3.0,16.0,0.0,0.0
01-07-2024,HRGI,OE_DOMESTIC,STP,3.0,1162.0,27.0,2.323580034423408
01-07-2024,HRGI,OE_DOMESTIC,STR,3.0,999.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,EMG,3.0,425.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,EMG,15.0,5.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,FOC,3.0,120.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,FOC,15.0,8.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,PRY,3.0,746.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,PRY,15.0,261.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,STP,15.0,14.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,STR,3.0,3623.0,0.0,0.0
01-07-2024,HRGI,RE_DOMESTIC,STR,15.0,223.0,0.0,0.0
01-07-2024,HRPO,MS_DOMESTIC,PRY,4.0,25.0,25.0,100.0
01-07-2024,HRPO,MS_DOMESTIC,STP,-1.0,25.0,0.0,0.0
01-07-2024,HRPO,MS_DOMESTIC,STP,4.0,663.0,0.0,0.0
01-07-2024,HRPO,MS_DOMESTIC,STR,-1.0,20.0,0.0,0.0
01-07-2024,HRPO,MS_DOMESTIC,STR,4.0,960.0,240.0,25.0
01-07-2024,HRPO,OE_DOMESTIC,EMG,4.0,1230.0,1230.0,100.0
01-07-2024,HRPO,OE_DOMESTIC,PRY,-1.0,268.0,0.0,0.0
01-07-2024,HRPO,OE_DOMESTIC,STP,4.0,8083.0,3213.0,39.75009278733144
01-07-2024,HRPO,OE_DOMESTIC,STR,-1.0,450.0,0.0,0.0
01-07-2024,HRPO,OE_DOMESTIC,STR,4.0,6528.0,2388.0,36.580882352941174
01-07-2024,HRPO,OE_EXPORTS,PRY,1.0,113.0,43.0,38.05309734513274
01-07-2024,HRPO,OE_EXPORTS,STP,1.0,169.0,44.0,26.035502958579883
01-07-2024,HRPO,RE_DOMESTIC,EMG,16.0,51.0,26.0,50.98039215686274
01-07-2024,HRPO,RE_DOMESTIC,FOC,-1.0,328.0,0.0,0.0
01-07-2024,HRPO,RE_DOMESTIC,FOC,4.0,1345.0,484.0,35.985130111524164
01-07-2024,HRPO,RE_DOMESTIC,FOC,16.0,464.0,248.0,53.44827586206896
01-07-2024,HRPO,RE_DOMESTIC,PRY,-1.0,1584.0,0.0,0.0
01-07-2024,HRPO,RE_DOMESTIC,PRY,4.0,2267.0,1714.0,75.60652845169828
01-07-2024,HRPO,RE_DOMESTIC,PRY,16.0,2884.0,2347.0,81.38002773925103
01-07-2024,HRPO,RE_DOMESTIC,STP,4.0,4830.0,4765.0,98.65424430641822
01-07-2024,HRPO,RE_DOMESTIC,STP,16.0,247.0,147.0,59.51417004048582
01-07-2024,HRPO,RE_DOMESTIC,STR,4.0,3181.0,3081.0,96.85633448601068
01-07-2024,HRPO,RE_DOMESTIC,STR,16.0,1628.0,1324.0,81.32678132678133
01-07-2024,HRPO,RE_EXPORTS,PRY,1.0,680.0,551.0,81.02941176470588
01-07-2024,HRPO,SA_DOMESTIC,EMG,4.0,1011.0,993.0,98.21958456973294
01-07-2024,HRPO,SA_DOMESTIC,FOC,4.0,325.0,325.0,100.0
01-07-2024,HRPO,SA_DOMESTIC,PRY,4.0,1263.0,324.0,25.653206650831358
01-07-2024,HRPO,SA_DOMESTIC,STP,4.0,20219.0,11787.0,58.296651664276176
01-07-2024,HRPO,SA_DOMESTIC,STR,4.0,8995.0,5345.0,59.4219010561423
01-07-2024,HTLPF,OE_DOMESTIC,STP,2.0,1040.0,973.0,93.5576923076923
01-07-2024,HTPRB_BLM,OE_DOMESTIC,EMG,2.0,331.0,1.0,0.3021148036253776
01-07-2024,HTPRB_BLM,RE_DOMESTIC,PRY,14.0,1.0,0.0,0.0
01-07-2024,HTPRB_BLM,SA_DOMESTIC,STP,2.0,1320.0,471.0,35.68181818181818
01-07-2024,HTPRB_BLM,SA_DOMESTIC,STR,2.0,121.0,3.0,2.479338842975207
01-07-2024,HTPRB_BRM,OE_DOMESTIC,EMG,2.0,14.0,14.0,100.0
01-07-2024,HTPRB_BRM,OE_DOMESTIC,STR,2.0,30.0,23.0,76.66666666666667
01-07-2024,HTPRB_BRM,SA_DOMESTIC,STP,2.0,346.0,221.0,63.8728323699422
01-07-2024,HTPRB_BRM,SA_DOMESTIC,STR,2.0,40.0,0.0,0.0
01-07-2024,HTWRC,MS_DOMESTIC,STP,2.0,55.0,55.0,100.0
01-07-2024,HTWRC,MS_DOMESTIC,STR,-1.0,313.0,0.0,0.0
01-07-2024,HTWRC,MS_DOMESTIC,STR,2.0,855.0,668.0,78.12865497076024
01-07-2024,HTWRC,OE_DOMESTIC,STP,2.0,125.0,0.0,0.0
01-07-2024,HTWRC,OE_DOMESTIC,STR,2.0,3350.0,1349.0,40.26865671641791
01-07-2024,HTWRC,RE_DOMESTIC,FOC,14.0,1.0,0.0,0.0
01-07-2024,HTWRC,RE_DOMESTIC,PRY,-1.0,20.0,0.0,0.0
01-07-2024,HTWRC,RE_DOMESTIC,PRY,14.0,15.0,2.0,13.333333333333334
01-07-2024,HTWRC,SA_DOMESTIC,EMG,-1.0,43.0,0.0,0.0
01-07-2024,LPF,OE_DOMESTIC,STP,4.0,2556.0,1674.0,65.49295774647888
01-07-2024,LPF,OE_DOMESTIC,STR,4.0,780.0,780.0,100.0
01-07-2024,LPF,SA_DOMESTIC,EMG,4.0,13.0,0.0,0.0
01-07-2024,LPF,SA_DOMESTIC,STP,4.0,3433.0,1532.0,44.62569181473929
01-07-2024,LRPC,RE_DOMESTIC,FOC,18.0,3.0,3.0,100.0
01-07-2024,LRPC,RE_DOMESTIC,PRY,18.0,2.0,2.0,100.0
01-07-2024,NOFP,MS_DOMESTIC,PRY,2.0,135.0,0.0,0.0
01-07-2024,NOFP,MS_DOMESTIC,STR,2.0,4338.0,550.0,12.678653757491931
01-07-2024,NOFP,OE_DOMESTIC,EMG,2.0,390.0,0.0,0.0
01-07-2024,NOFP,OE_DOMESTIC,PRY,2.0,85.0,0.0,0.0
01-07-2024,NOFP,OE_DOMESTIC,STP,2.0,4677.0,102.0,2.1808851828094933
01-07-2024,NOFP,OE_DOMESTIC,STR,2.0,6375.0,1696.0,26.603921568627452
01-07-2024,NOSP,OE_DOMESTIC,EMG,7.0,25.0,25.0,100.0
01-07-2024,NOSP,OE_DOMESTIC,STP,7.0,1000.0,1000.0,100.0
01-07-2024,NOSP,SA_DOMESTIC,STP,7.0,3986.0,116.0,2.91018564977421
01-07-2024,PPGI,MS_DOMESTIC,EMG,2.0,9.0,0.0,0.0
01-07-2024,PPGI,OE_DOMESTIC,EMG,2.0,115.0,0.0,0.0
01-07-2024,PPGI,OE_DOMESTIC,FOC,2.0,30.0,0.0,0.0
01-07-2024,PPGI,OE_DOMESTIC,PRY,2.0,200.0,0.0,0.0
01-07-2024,PPGI,OE_DOMESTIC,STP,2.0,2727.0,20.0,0.7334066740007334
01-07-2024,PPGI,OE_DOMESTIC,STR,2.0,564.0,21.0,3.723404255319149
01-07-2024,PPGI,OE_EXPORTS,STP,1.0,542.0,26.0,4.797047970479705
01-07-2024,PPGI,RE_DOMESTIC,EMG,2.0,1280.0,0.0,0.0
01-07-2024,PPGI,RE_DOMESTIC,EMG,14.0,123.0,0.0,0.0
01-07-2024,PPGI,RE_DOMESTIC,FOC,2.0,115.0,0.0,0.0
01-07-2024,PPGI,RE_DOMESTIC,FOC,14.0,187.0,0.0,0.0
01-07-2024,PPGI,RE_DOMESTIC,PRY,-1.0,25.0,0.0,0.0
01-07-2024,PPGI,RE_DOMESTIC,PRY,2.0,1720.0,0.0,0.0
01-07-2024,PPGI,RE_DOMESTIC,PRY,14.0,1078.0,0.0,0.0
01-07-2024,PPGI,RE_DOMESTIC,STP,14.0,4.0,0.0,0.0
